week_start,week_end,transfers,inflow_usd,cumulative_usd
2026-04-27,2026-05-04,76,1133.29775723,20030.55226824
2026-05-04,2026-05-11,152,2787.6797798,22818.23204805
2026-05-11,2026-05-18,120,1651.88267969,24470.11472774
2026-05-18,2026-05-25,56,202.57376447,24672.68849221
2026-05-25,2026-06-01,71,161.12654369,24833.8150359
2026-06-01,2026-06-08,97,399.68352848,25233.49856438
2026-06-08,2026-06-15,63,66.20651649,25299.70508087
2026-06-15,2026-06-22,54,111.27715075,25410.98223162
2026-06-22,2026-06-29,176,3702.87811873,29113.86035035
2026-06-29,2026-07-06,184,1189.81925188,30303.67960224
2026-07-06,2026-07-13,184,664.94720374,30968.62680597
2026-07-13,2026-07-20,49,1593.8011983,32562.42800427
