height,week_start,id,pool,source_denom,source_contract,coin,liquidity_fee_base,liquidity_fee_rune,rune_price_usd,liquidity_fee_usd,memo
25981002,2026-04-27,008F984E29BEF4EC784860731377B3D089D860013F31811936F12F4C6C037491,AVAX.AVAX,avax-avax,thor1dw8tadkwy746ytvaugv26g5jwekwpfyjyvlvncvryukm07rc998s4ukvrt,736296900 THOR.RUNE,736283,0.00736283,0.50793203,0.00373982,=:AVAX-AVAX:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981002,2026-04-27,008F984E29BEF4EC784860731377B3D089D860013F31811936F12F4C6C037491,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,avax-avax,thor1dw8tadkwy746ytvaugv26g5jwekwpfyjyvlvncvryukm07rc998s4ukvrt,369596853 ETH-USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,737033,0.00737033,0.50793203,0.00374363,=:AVAX-AVAX:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981305,2026-04-27,2C0470B822DA2A20897360071B0B9D3B633A7B2D6F3FB1862D6FAE8332D3FA20,BASE.ETH,base-eth,thor1624v08rr5na2hv5jazw5tmyyjyqg8lfy78zvck52ep3nqxa7lljq00e4xq,14894 BASE-ETH,67029,0.00067029,0.50793203,0.00034046,=:ETH-ETH:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981305,2026-04-27,2C0470B822DA2A20897360071B0B9D3B633A7B2D6F3FB1862D6FAE8332D3FA20,ETH.ETH,base-eth,thor1624v08rr5na2hv5jazw5tmyyjyqg8lfy78zvck52ep3nqxa7lljq00e4xq,66962890 THOR.RUNE,62991,0.00062991,0.50793203,0.00031995,=:ETH-ETH:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981507,2026-04-27,F407BC41994244ACEC674945CC3B406FB1BBC3F745AFF10CE651A9FF0E01CCFC,BCH.BCH,bch-bch,thor1s4jpxtz0jsh6elyqcdujd303ptefz53gknmcp437rm9ykxnfhysqrm5hze,401696 BCH-BCH,354914,0.00354914,0.50793203,0.00180272,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981507,2026-04-27,F407BC41994244ACEC674945CC3B406FB1BBC3F745AFF10CE651A9FF0E01CCFC,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,bch-bch,thor1s4jpxtz0jsh6elyqcdujd303ptefz53gknmcp437rm9ykxnfhysqrm5hze,354559295 THOR.RUNE,354558,0.00354558,0.50793203,0.00180091,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981709,2026-04-27,42C8B21660983771068F234DA88815F511184CB5A3597317712EFAB8A3676A4A,BSC.USDC-0X8AC76A51CC950D9822D68B83FE1AD97B32CD580D,bsc-usdc-0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,thor1f9zc2sdua4n6nreuxzhed9435n0cf6v6lpx6nrjdadtkr294a26qhs676n,1935118 BSC-USDC-0X8AC76A51CC950D9822D68B83FE1AD97B32CD580D,3853,0.00003853,0.50793203,0.00001957,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981709,2026-04-27,42C8B21660983771068F234DA88815F511184CB5A3597317712EFAB8A3676A4A,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,bsc-usdc-0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,thor1f9zc2sdua4n6nreuxzhed9435n0cf6v6lpx6nrjdadtkr294a26qhs676n,3849389 THOR.RUNE,3849,0.00003849,0.50793203,0.00001955,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981810,2026-04-27,221350B5C2D20F34ED160BE24FB1CD51C37F4C40D1FAE3A2D1D13A6D9218C371,BSC.USDT-0X55D398326F99059FF775485246999027B3197955,bsc-usdt-0x55d398326f99059ff775485246999027b3197955,thor1mgjtf976cnurac63yh2tldmw2mme5f4a8n0u7m3d5yvxk6x5yrws4u37es,14729176 BSC-USDT-0X55D398326F99059FF775485246999027B3197955,29328,0.00029328,0.50793203,0.00014897,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
25981810,2026-04-27,221350B5C2D20F34ED160BE24FB1CD51C37F4C40D1FAE3A2D1D13A6D9218C371,ETH.USDC-0XA0B86991C6218B36C1D19D4A2E9EB0CE3606EB48,bsc-usdt-0x55d398326f99059ff775485246999027b3197955,thor1mgjtf976cnurac63yh2tldmw2mme5f4a8n0u7m3d5yvxk6x5yrws4u37es,29299582 THOR.RUNE,29299,0.00029299,0.50793203,0.00014882,=:ETH-USDC:thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g/thor1n5a08r0zvmqca39ka2tgwlkjy9ugalutk7fjpzptfppqcccnat2ska5t4g:0/1/1
