source_denom,source_contract,source_label,swap_events,active_heights,liquidity_fee_rune,liquidity_fee_usd
tcy,thor1kyjky2yprmamj0gfkevyc6tunxev0054gpxjap8k9vkyutkkf5lqyr0xxv,tcy via thor1kyjky2y...,102,30,17.07059547,9.04056515
x/ruji,thor17cawwg2lsnvcne69fek6nsqkf8snma6gc5ccceshul86rl0u3q4s5l5d0a,x/ruji via thor17cawwg2...,60,26,15.13554766,8.31996624
eth-usdc-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,thor1y8g3yhzmnwyt6g7jque36eyregf85kgtzem6dgzqxuzrpmzpumvqts7ud7,eth-usdc-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 via thor1y8g3yhz...,55,38,14.88978135,8.13520113
gaia-atom,thor1s8rxcvg83cwar87ehv4c866auxujkfj3k4wjkxkaren7vmvn9nass80ekp,gaia-atom via thor1s8rxcvg...,26,10,4.76547644,2.4289913
btc-btc,thor1dwsnlqw3lfhamc5dz3r57hlsppx3a2n2d7kppccxfdhfazjh06rs5077sz,btc-btc via thor1dwsnlqw...,34,15,3.32412585,1.75037766
eth-eth,thor1tnd06uswj8033d0kzd5d7zre73u3uc44r2vvez26z5m4kr68vtusf2snva,eth-eth via thor1tnd06us...,30,11,0.85115768,0.46800342
ltc-ltc,thor1ks9qq0nwv7qxtnznesys6ylflwruqlf85er6zls4erwgzkvw0m0qs3rghz,ltc-ltc via thor1ks9qq0n...,16,5,0.81767059,0.45203775
avax-usdc-0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e,thor14sk3vqzt6rpp8c06ynfhw30ctk0wy5mqhvedccg8gnnlcdcyc9csaf4ngt,avax-usdc-0xb97ef9ef8734c71904d8002f8b6bc66dd9c48a6e via thor14sk3vqz...,2,1,0.52907021,0.29187047
base-usdc-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,thor1kkuhwaqnlnvchx6fzttp7l9vhman9ll9u6dyhx65v4c7gcpflvcqkdv7z9,base-usdc-0x833589fcd6edb6e08f4c7c32d4f71b54bda02913 via thor1kkuhwaq...,8,2,0.34464676,0.20181436
x/ghost-vault/eth-usdc-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,thor1hs6wzyk4tf25ujd7lu07hhnkj4tl38m3wpp6qqw50y5r3e3x7zksnvj3qr,x/ghost-vault/eth-usdc-0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48 via thor1hs6wzyk...,3,1,0.26965894,0.15790384
doge-doge,thor1w8agselh7k2e4ty369v39lngkckljxfafm35d06f7wj3ar90h2esv75t7p,doge-doge via thor1w8agsel...,6,2,0.29581636,0.1502546
xrp-xrp,thor14v89h32ztmfg9d230cjly7ac26fvdkhgq7nkntsw4uy2f3yh2v7qrz6hsw,xrp-xrp via thor14v89h32...,22,7,0.26499757,0.14700728
avax-avax,thor1dw8tadkwy746ytvaugv26g5jwekwpfyjyvlvncvryukm07rc998s4ukvrt,avax-avax via thor1dw8tadk...,12,5,0.18279913,0.10053473
bsc-bnb,thor1g49m6re9vgrte8twpgx0qcnvr92575tqhcgmnwq3g5s94msk4ersqsyw3x,bsc-bnb via thor1g49m6re...,8,3,0.08866095,0.04718833
bch-bch,thor1s4jpxtz0jsh6elyqcdujd303ptefz53gknmcp437rm9ykxnfhysqrm5hze,bch-bch via thor1s4jpxtz...,8,3,0.01655904,0.00914565
eth-gusd-0x056fd409e1d7a124bd7017459dfea2f387b6d5cd,thor19pdw7vjkhk0qhvn7r3xgj6f5zyyj700w6my3z28cv9ugzu7gp5rqv5596l,eth-gusd-0x056fd409e1d7a124bd7017459dfea2f387b6d5cd via thor19pdw7vj...,4,2,0.01292804,0.00702938
base-eth,thor1624v08rr5na2hv5jazw5tmyyjyqg8lfy78zvck52ep3nqxa7lljq00e4xq,base-eth via thor1624v08r...,2,1,0.0013002,0.00066041
bsc-usdt-0x55d398326f99059ff775485246999027b3197955,thor1mgjtf976cnurac63yh2tldmw2mme5f4a8n0u7m3d5yvxk6x5yrws4u37es,bsc-usdt-0x55d398326f99059ff775485246999027b3197955 via thor1mgjtf97...,2,1,0.00058627,0.00029779
bsc-usdc-0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,thor1f9zc2sdua4n6nreuxzhed9435n0cf6v6lpx6nrjdadtkr294a26qhs676n,bsc-usdc-0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d via thor1f9zc2sd...,2,1,0.00007702,0.00003912
avax-usdt-0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7,thor1mj73004rhycffu6k56dalt0zmefzdc3ana6egkh4aes9aw43lxqqmfq2xg,avax-usdt-0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7 via thor1mj73004...,2,1,0.00007007,0.00003866
