week_start,week_end,transfers,inflow_usd,cumulative_usd
2026-04-27,2026-05-04,76,1133.74540391,20030.55632109
2026-05-04,2026-05-11,152,2787.6714295,22818.22775059
2026-05-11,2026-05-18,120,1651.88390562,24470.11165621
2026-05-18,2026-05-25,0,0,24470.11165621
2026-05-25,2026-06-01,0,0,24470.11165621
2026-06-01,2026-06-08,0,0,24470.11165621
2026-06-08,2026-06-15,0,0,24470.11165621
2026-06-15,2026-06-22,0,0,24470.11165621
2026-06-22,2026-06-29,170,4521.19075711,28991.30241332
2026-06-29,2026-07-06,184,1190.42997997,30181.7323933
2026-07-06,2026-07-13,174,595.69583674,30777.42823003
